,rank,company,industry,headquarters city,country,revenues ($m),revenue percent change,profits ($m),profits percent change,assets ($m),profitable,sector,employees,ceo,website,market value ($m),ceo_woman,fastest_growing_company,change_the_world,world_most_admired_company,global_500,previous revenue ($m),previous profit ($m)
18,19,cp-axtra,Cửa hàng Thực phẩm và Dược phẩm,Bangkok,Thái Lan,14088.0,4.9,248.4,12.8,15731.0,True,Bán buôn,88948.0,Tanin Buranamanit,https://www.cpaxtra.com,9275.0,False,False,False,False,False,13429.933269780744,220.2127659574468
19,20,sea,Dịch vụ Internet và Bán lẻ,Singapore,Singapore,13063.6,4.9,162.7,109.8,18883.0,True,Công nghệ,62700.0,Forrest Li,https://www.sea.com/,31485.0,False,False,True,False,False,12453.384175405148,77.55004766444233
20,21,tenaga-nasional,Tiện ích: Khí đốt và Điện,Kuala Lumpur,Malaysia,11646.6,0.5,608.0,-22.9,44606.0,True,Năng lượng,34543.0,Megat Jalaluddin bin Megat Hassan,https://www.tnb.com.my/,14517.0,False,False,False,False,False,11588.656716417912,788.586251621271
21,22,bank-mandiri,Ngân hàng Thương mại,Jakarta,Indonesia,11515.3,13.8,3616.5,30.2,141229.0,True,Tài chính,36872.0,Darmawan Junaidi,https://bankmandiri.co.id/en/,39704.0,False,False,False,False,False,10118.8927943761,2777.6497695852536
22,23,petrolimex,Lọc dầu,Hà Nội,Việt Nam,11502.2,-11.6,119.0,85.5,3284.0,True,Năng lượng,26262.0,Dao Nam Hai,https://www.petrolimex.com.vn/en.html,1790.0,False,False,False,False,False,13011.538461538463,64.15094339622641
23,24,bangchak,Lọc dầu,Bangkok,Thái Lan,11094.9,18.2,380.5,5.7,9911.0,True,Năng lượng,1184.0,Chaiwat Kovavisarach,https://www.bangchak.co.th/,1560.0,False,False,False,False,False,9386.548223350253,359.9810785241249
24,25,sime-darby,Tài chính Đa ngành,Petaling Jaya,Malaysia,10758.8,7.0,324.9,24.5,7940.0,True,Công nghiệp,24335.0,Jeffri Salim Davidson,https://www.simedarby.com/,4002.0,False,False,False,False,False,10054.953271028036,260.96385542168673
25,26,singtel,Viễn thông,Singapore,Singapore,10648.1,-6.4,1620.1,12.1,35003.0,True,Viễn thông,24070.0,Yuen Kuan Moon,https://www.singtel.com/,28801.0,False,False,False,False,False,11376.175213675215,1445.2274754683317
26,27,sm-investments,Tài chính Đa ngành,Thành phố Pasay,Philippines,10276.9,8.0,1384.9,22.1,28637.0,True,Công nghiệp,72770.0,Frederic C. DyBuncio,https://www.sminvestments.com/,20106.0,False,False,False,False,False,9515.648148148148,1134.2342342342342
27,28,telkom-indonesia,Viễn thông,Bandung,Indonesia,9801.0,-1.3,1613.2,15.3,18645.0,True,Viễn thông,23064.0,Ririek Adriansyah,https://www.telkom.co.id,19360.0,False,False,False,False,False,9930.091185410334,1399.1326973113617
28,29,golden-agri-resources,Sản xuất thực phẩm,Singapore,Singapore,9756.2,-14.7,197.6,-74.7,9716.0,True,"Thực phẩm, Đồ uống & Thuốc lá",100800.0,Franky Oesman Widjaja,https://www.goldenagri.com.sg/,2557.0,False,False,False,False,False,11437.514654161783,781.0276679841897
29,30,irpc,Lọc dầu,Rayong,Thái Lan,9198.4,-1.5,-84.1,32.7,5609.0,False,Năng lượng,4441.0,Kris Imsang,https://www.irpc.co.th/en/en-home/,1085.0,False,False,False,False,False,9338.477157360407,-63.376036171816125
30,31,kasikornbank,Ngân hàng Thương mại,Bangkok,Thái Lan,8643.2,15.8,1219.3,19.1,124703.0,True,Tài chính,18556.0,Kattiya Indaravijaya,https://www.kasikornbank.com/en,8340.0,True,False,False,False,False,7463.903281519863,1023.761544920235
31,32,petronas-dagangan,Lọc dầu,Kuala Lumpur,Malaysia,8241.0,-1.5,207.0,16.9,2503.0,True,Năng lượng,1342.0,Azrul Osman Rani,https://www.mymesra.com.my/,4521.0,False,False,False,False,False,8366.497461928933,177.0744225834046
32,33,thai-beverage,Đồ uống,Bangkok,Thái Lan,8094.2,0.8,784.8,-10.8,13527.0,True,"Thực phẩm, Đồ uống & Thuốc lá",50613.0,Thapana Sirivadhanabhakdi,https://www.thaibev.com/home,9120.0,False,False,False,False,False,8029.960317460317,879.8206278026905
33,34,manila-electric,Tiện ích: Khí đốt và Điện,Pasig,Philippines,7979.9,1.7,684.0,30.8,10580.0,True,Năng lượng,14494.0,Manuel V. Pangilinan,https://www.meralco.com.ph/,7203.0,False,False,False,False,False,7846.509341199607,522.9357798165138
34,35,gudang-garam,Thuốc lá,Kediri,Indonesia,7813.2,-7.1,349.7,86.6,6005.0,True,"Thực phẩm, Đồ uống & Thuốc lá",25961.0,Susilo Wonowidjojo,https://www.gudanggaramtbk.com/en/,2162.0,False,False,False,False,False,8410.333692142087,187.40621650589495
35,36,cimb-group-holdings,Ngân hàng Thương mại,Kuala Lumpur,Malaysia,7690.6,25.8,1532.1,23.7,159820.0,True,Tài chính,33632.0,Abdul Rahman Ahmad,https://www.cimb.com,14806.0,False,False,False,False,False,6113.35453100159,1238.5610347615195
36,37,agribank,Ngân hàng Thương mại,Hà Nội,Việt Nam,7536.6,16.6,862.4,12.6,84292.0,True,Tài chính,40663.0,Pham Toan Vuong,https://www.agribank.com.vn/en,15978.0,False,False,False,False,False,6463.636363636364,765.8969804618117
37,38,st-engineering,Kỹ thuật & Xây dựng,Singapore,Singapore,7523.2,14.7,436.8,12.5,11661.0,True,Hàng không vũ trụ & Quốc phòng,26779.0,Vincent Chong Sy Feng,https://www.stengg.com/,9219.0,False,False,False,False,False,6559.0235396687,388.26666666666665
38,39,bank-for-investment-and-development-of-vietnam-(bidv),Ngân hàng Thương mại,Hà Nội,Việt Nam,7518.2,19.5,902.8,16.7,94842.0,True,Tài chính,29327.0,Le Ngoc Lam,https://bidv.com.vn/en,11070.0,False,False,False,False,False,6291.380753138074,773.6075407026564
39,40,bank-central-asia,Ngân hàng Thương mại,Jakarta,Indonesia,7370.6,14.2,3194.8,16.3,91465.0,True,Tài chính,25486.0,Jahja Setiaatmadja,https://www.bca.co.id/,74482.0,False,False,False,False,False,6454.115586690018,2747.0335339638864
40,41,indofood-sukses-makmur,Sản xuất thực phẩm,Jakarta,Indonesia,7337.1,-1.8,535.1,24.8,12120.0,True,"Thực phẩm, Đồ uống & Thuốc lá",81367.0,Anthoni Salim,https://www.indofood.com/,3383.0,False,False,False,False,False,7471.5885947046845,428.76602564102564
41,42,central-retail,Thương gia Tổng hợp,Bangkok,Thái Lan,7150.8,5.8,230.5,12.3,8358.0,True,Bán lẻ,58346.0,Yol Phokasub,https://www.centralretail.com/,5612.0,False,False,False,False,False,6758.790170132325,205.25378450578808
42,43,mind-id,"Khai thác, Sản xuất Dầu thô",Barito Utara,Indonesia,7087.9,-17.2,1599.1,45.5,16835.0,True,Vật liệu,10422.0,Hendi Prio Santoso,https://mind.id/en,8362.0,False,False,False,False,False,8560.26570048309,1099.0378006872852
43,44,sumber-alfaria-trijaya,Cửa hàng Thực phẩm và Dược phẩm,Tangerang,Indonesia,7024.5,7.5,223.6,16.1,2225.0,True,Bán lẻ,195757.0,Anggara Hans Prawira,https://alfamart.co.id/,7501.0,False,False,False,False,False,6534.418604651163,192.59259259259258
44,45,vingroup,Bất động sản,Hà Nội,Việt Nam,6777.1,55.7,86.3,-1.3,27521.0,True,Dịch vụ kinh doanh,53504.0,Nguyen Viet Quang,https://vingroup.net/en,6527.0,False,False,False,False,False,4352.665382145151,87.43667679837893
45,46,bangkok-bank,Ngân hàng Thương mại,Bangkok,Thái Lan,6642.0,32.1,1197.2,42.8,131426.0,True,Tài chính,28286.0,Chartsiri Sophonpanich,https://www.bangkokbank.com/,7054.0,False,False,False,False,False,5028.009084027252,838.3753501400561
46,47,ytl,Kỹ thuật & Xây dựng,Kuala Lumpur,Malaysia,6598.6,15.1,244.1,48.5,17462.0,True,Công nghiệp,12627.0,Yeoh Seok Kian,https://www.ytl.com/,7130.0,False,False,False,False,False,5732.927888792355,164.3771043771044
47,48,vietinbank,Ngân hàng Thương mại,Hà Nội,Việt Nam,6583.2,15.1,835.6,15.4,82904.0,True,Tài chính,24642.0,Do Thanh Son,https://www.vietinbank.vn,6952.0,False,False,False,False,False,5719.548218940052,724.0901213171578
48,49,adaro-energy-indonesia,"Khai thác, Sản xuất Dầu thô",Jakarta,Indonesia,6517.6,-19.6,1641.4,-34.2,10473.0,True,Năng lượng,14697.0,Garibaldi Thohir,https://www.adaro.com/,5160.0,False,False,False,False,False,8106.467661691542,2494.5288753799396
49,50,scb-x,Tài chính Đa ngành,Bangkok,Thái Lan,6308.2,19.7,1251.4,16.5,100108.0,True,Tài chính,28042.0,Arthid Nanthawithaya,https://www.scbx.com/en/,9672.0,False,False,False,False,False,5270.00835421888,1074.1630901287554
50,51,petronas-chemicals-group,Hóa chất,Kuala Lumpur,Malaysia,6291.6,-4.6,372.2,-74.2,13117.0,True,Hóa chất,6465.0,Mazuin bin Ismail,https://www.petronas.com/pcg/,11376.0,False,False,False,False,False,6594.96855345912,1442.6356589147285
51,52,binh-son-refining,Lọc dầu,Quảng Ngãi,Việt Nam,6189.1,-13.4,363.1,-42.3,3569.0,True,Năng lượng,1532.0,Bui Ngoc Duong,https://bsr.com.vn,2762.0,False,False,False,False,False,7146.766743648961,629.2894280762566
52,53,yanlord-land-group,Bất động sản,Singapore,Singapore,6130.0,43.7,-131.9,-157.9,24327.0,False,Dịch vụ kinh doanh,11530.0,Zhong Sheng Jian,https://www.yanlordland.com/,637.0,False,False,False,False,False,4265.831593597773,227.8065630397237
53,54,genting,"Khách sạn, Sòng bạc, Khu nghỉ dưỡng",Kuala Lumpur,Malaysia,5967.1,17.0,203.9,398.5,23275.0,True,"Khách sạn, Nhà hàng & Giải trí",54000.0,Lim Kok Thay,https://www.genting.com/,3650.0,False,False,False,False,False,5100.085470085471,40.90270812437313
54,55,jg-summit-holdings,Tài chính Đa ngành,Pasig,Philippines,5932.2,11.5,360.6,2912.2,20080.0,True,Công nghiệp,25979.0,Lance Yu Gokongwei,https://www.jgsummit.com.ph/,4396.0,False,False,False,False,False,5320.358744394619,11.97131664564106
55,56,true,Viễn thông,Bangkok,Thái Lan,5832.9,-5.2,-451.1,-166.5,21680.0,False,Viễn thông,10098.0,N/A,N/A,3934.0,False,False,False,False,False,6152.848101265823,678.3458646616541
56,57,bdo-unibank,Ngân hàng Thương mại,Thành phố Makati,Philippines,5832.1,31.7,1320.6,25.8,80839.0,True,Tài chính,41647.0,Nestor V. Tan,https://www.bdo.com.ph,13523.0,False,False,False,False,False,4428.321943811694,1049.7615262321144
57,58,ptg-energy,Lọc dầu,Bangkok,Thái Lan,5716.6,11.3,27.2,1.6,1366.0,True,Bán lẻ,21954.0,Pitak Ratchakitprakarn,https://www.ptgenergy.co.th/,394.0,False,False,False,False,False,5136.208445642408,26.771653543307085
58,59,aboitiz-equity-ventures,Tài chính Đa ngành,Thành phố Taguig,Philippines,5587.6,-1.0,423.6,-4.2,15055.0,True,Công nghiệp,13802.0,Sabin M. Aboitiz,https://aboitiz.com/,4079.0,False,False,False,False,False,5644.040404040405,442.1711899791232
59,60,public-bank,Ngân hàng Thương mại,Kuala Lumpur,Malaysia,5577.9,14.3,1459.3,4.7,111241.0,True,Tài chính,19827.0,Tay Ah Lek,https://www.publicbankgroup.com/,16773.0,False,False,False,False,False,4880.05249343832,1393.7917860553964
60,61,batu-kawan,Tài chính Đa ngành,Ipoh,Malaysia,5448.7,-17.1,108.5,-60.3,6798.0,True,Vật liệu,42559.0,Lee Hau Hian,https://www.bkawan.com.my/,1647.0,False,False,False,False,False,6572.617611580217,273.2997481108312
61,62,bank-negara-indonesia,Ngân hàng Thương mại,Jakarta Pusat,Indonesia,5448.0,8.0,1373.4,11.2,70586.0,True,Tài chính,27570.0,Royke Tumilaar,https://www.bni.co.id/en-us/,12059.0,False,False,False,False,False,5044.444444444444,1235.071942446043
62,63,singapore-power,Tiện ích: Khí đốt và Điện,Singapore,Singapore,5442.9,6.4,751.8,-49.4,15217.0,True,Năng lượng,3584.0,Stanley Huang Tian Guan,https://www.spgroup.com.sg/,6505.0,False,False,False,False,False,5115.5075187969915,1485.7707509881423
63,64,advanced-info-service,Viễn thông,Bangkok,Thái Lan,5430.9,2.3,836.3,12.4,13230.0,True,Viễn thông,11448.0,Somchai Lertsutiwong,https://investor.ais.co.th/,15844.0,False,False,False,False,False,5308.7976539589445,744.0391459074732
64,65,seatrium,Kỹ thuật & Xây dựng,Singapore,Singapore,5430.7,284.3,-1502.0,-692.5,12304.0,False,Kỹ thuật & Xây dựng,22747.0,Chris Ong,https://www.seatrium.com/,4902.0,False,False,False,False,False,1413.1407754358574,253.50210970464136
65,66,krungthai-bank,Ngân hàng Thương mại,Bangkok,Thái Lan,5417.7,27.5,1052.9,9.2,107065.0,True,Tài chính,16421.0,Payong Srivanich,https://www.krungthai.com,6333.0,False,False,False,False,False,4249.176470588235,964.1941391941392
66,67,psa-international,Vận chuyển,Singapore,Singapore,5284.7,-8.9,1089.4,-3.9,20842.0,True,Vận tải,49000.0,Ong Kim Pong,https://www.globalpsa.com/,4289.0,False,False,False,False,False,5800.987925356751,1133.610822060354
67,68,sembcorp-industries,Tiện ích: Khí đốt và Điện,Singapore,Singapore,5244.9,-7.7,701.6,14.0,11751.0,True,Kỹ thuật & Xây dựng,5063.0,Wong Kim Yin,https://www.sembcorp.com/,7019.0,False,False,False,False,False,5682.448537378114,615.438596491228
68,69,kuala-lumpur-kepong,Sản xuất thực phẩm,Ipoh,Malaysia,5226.4,-17.3,184.4,-63.4,6419.0,True,"Thực phẩm, Đồ uống & Thuốc lá",48487.0,Lee Oi Hian,https://www.klk.com.my/,5321.0,False,False,False,False,False,6319.7097944377265,503.8251366120219
69,70,ayala,Tài chính Đa ngành,Thành phố Makati,Philippines,5214.9,7.4,684.9,35.9,29043.0,True,Công nghiệp,33889.0,Cezar P. Consing,https://ayala.com,6602.0,False,False,False,False,False,4855.58659217877,503.97350993377484
70,71,pupuk-indonesia,Hóa chất,Jakarta,Indonesia,5202.6,-25.7,407.3,-67.3,9288.0,True,Hóa chất,7441.0,Rahmad Pribadi,https://www.pupuk-indonesia.com/,4438.0,False,False,False,False,False,7002.153432032302,1245.5657492354737
71,72,keppel,Bất động sản,Singapore,Singapore,5188.3,8.0,3028.8,350.4,20350.0,True,Công nghiệp,12245.0,Loh Chin Hua,https://www.keppel.com/,9111.0,False,False,False,False,False,4803.981481481482,672.4689165186502
72,73,banpu,"Khai thác, Sản xuất Dầu thô",Bangkok,Thái Lan,5159.0,-32.9,160.0,-86.2,13000.0,True,Năng lượng,6116.0,Sinon Vongkusolkit,https://www.banpu.com/,1500.0,False,False,False,False,False,7688.524590163934,1159.4202898550723
73,74,gt-capital-holdings,Tài chính Đa ngành,Thành phố Makati,Philippines,5104.6,21.2,517.0,53.1,8063.0,True,Công nghiệp,39000.0,Carmelo Maria Luza Bautista,https://www.gtcapital.com.ph/,2384.0,False,False,False,False,False,4211.716171617162,337.6877857609405
74,75,dian-swastatika-sentosa,"Khai thác, Sản xuất Dầu thô",Jakarta,Indonesia,5014.7,-15.8,426.2,-27.8,3063.0,True,Năng lượng,2368.0,L. Krisnan Cahya,https://dssa.co.id/,4751.0,False,False,False,False,False,5955.700712589073,590.3047091412742
75,76,hoa-phat-group,Máy móc Công nghiệp,Hưng Yên,Việt Nam,4993.9,-17.4,287.0,-20.9,7740.0,True,Công nghiệp,28951.0,Nguyen Viet Thang,https://www.hoaphat.com.vn,6518.0,False,False,False,False,False,6045.883777239708,362.8318584070796
76,77,mobile-world-investment,Nhà bán lẻ Chuyên ngành: Khác,Thủ Dầu Một,Việt Nam,4965.6,-13.0,7.0,-96.0,2478.0,True,Bán lẻ,65414.0,Tran Huy Thanh Tung,https://mwg.vn/eng,3169.0,False,False,False,False,False,5707.5862068965525,174.99999999999986
77,78,ytl-power-international,Tiện ích: Khí đốt và Điện,Kuala Lumpur,Malaysia,4877.3,15.8,451.9,29.3,12676.0,True,Năng lượng,4800.0,Yeoh Seok Hong,https://www.ytlpowerinternational.com,7818.0,False,False,False,False,False,4211.8307426597585,349.49729311678266
78,79,berli-jucker,Nhà bán lẻ Chuyên ngành: Khác,Bangkok,Thái Lan,4831.5,3.2,137.9,-3.8,9868.0,True,Bán buôn,45373.0,Thapanee Techajareonvikul,https://www.bjc.co.th,2648.0,True,False,False,False,False,4681.686046511628,143.34719334719335
79,80,axiata-group,Viễn thông,Kuala Lumpur,Malaysia,4828.8,5.9,-437.8,-119.7,17084.0,False,Viễn thông,10800.0,Vivek Sood,https://www.axiata.com/,5450.0,False,False,False,False,False,4559.773371104816,2222.33502538071
80,81,thai-airways-international,Hàng không,Bangkok,Thái Lan,4758.6,58.0,807.9,10470.9,6958.0,True,Vận tải,11146.0,Chai Eamsiri,https://www.thaiairways.com,22.0,False,False,False,False,False,3011.772151898734,7.64267943126886
81,82,ihh-healthcare,Chăm sóc sức khỏe: Cơ sở Y tế,Kuala Lumpur,Malaysia,4594.6,12.1,647.9,83.7,10935.0,True,Chăm sóc sức khỏe,70000.0,Prem Kumar Nair,https://www.ihhhealthcare.com,11692.0,False,False,False,False,False,4098.661909009813,352.69461077844306
82,83,housing-&-development-board,Bất động sản,Singapore,Singapore,4503.3,25.7,12.2,-66.4,66866.0,True,Kỹ thuật & Xây dựng,5516.0,N/A,N/A,14973.0,False,False,False,False,False,3582.577565632458,36.30952380952381
83,84,japfa,Sản xuất thực phẩm,Singapore,Singapore,4429.0,1.5,-30.8,-477.5,3083.0,False,"Thực phẩm, Đồ uống & Thuốc lá",37668.0,Tan Yong Nang,https://www.japfa.com,448.0,False,False,False,False,False,4363.546798029557,8.158940397350992
84,85,minor-international,"Khách sạn, Sòng bạc, Khu nghỉ dưỡng",Bangkok,Thái Lan,4400.8,21.8,155.5,26.7,10457.0,True,"Khách sạn, Nhà hàng & Giải trí",63256.0,Emmanuel Jude Dillipraj Rajakarier,https://www.minor.com,5047.0,False,False,False,False,False,3613.1362889983584,122.73086029992108
85,86,jollibee-foods,Dịch vụ Ăn uống,Pasig,Philippines,4391.1,12.6,157.7,13.4,4408.0,True,"Thực phẩm, Đồ uống & Thuốc lá",26263.0,Ernesto Tanmantiong,https://www.jollibee.com.ph,4570.0,False,False,False,False,False,3899.7335701598586,139.0652557319224
86,87,cal-comp-electronics,"Điện tử, Thiết bị Điện",Bangkok,Thái Lan,4336.5,-12.1,32.1,38.3,2499.0,True,Công nghệ,23563.0,Khongsit Choukitcharoen,https://www.calcomp.co.th/,637.0,False,False,False,False,False,4933.447098976109,23.210412147505423
87,88,petrovietnam-oil,"Thiết bị Dầu khí, Dịch vụ",Tuy Hòa,Việt Nam,4310.0,-3.3,23.6,-15.2,1601.0,True,Năng lượng,1681.0,Doan Van Nhuom,https://www.pvoilphuyen.com.vn,3.0,False,False,False,False,False,4457.083764219235,27.830188679245285
88,89,fgv-holdings,Sản xuất thực phẩm,Kuala Lumpur,Malaysia,4248.8,-27.0,22.3,-92.6,3765.0,True,"Thực phẩm, Đồ uống & Thuốc lá",16781.0,Mohd Nazrul Izam Mansor,https://www.fgvholdings.com/,1056.0,False,False,False,False,False,5820.27397260274,301.35135135135107
89,90,mewah-international,Sản xuất thực phẩm,Singapore,Singapore,4123.8,-24.0,40.6,-64.3,1490.0,True,"Thực phẩm, Đồ uống & Thuốc lá",4491.0,Michelle Cheo Hui Ning,https://www.mewahgroup.com/,308.0,True,False,False,False,False,5426.0526315789475,113.72549019607844
90,91,vpbank,Ngân hàng Thương mại,Hà Nội,Việt Nam,4049.9,10.8,418.7,-46.1,33700.0,True,Tài chính,24973.0,Nguyen Duc Vinh,https://www.vpbank.com.vn,5809.0,False,False,False,False,False,3655.14440433213,776.8089053803341
91,92,sd-guthrie,Sản xuất thực phẩm,Petaling Jaya,Malaysia,4044.4,-15.6,408.2,-28.0,6947.0,True,"Thực phẩm, Đồ uống & Thuốc lá",50532.0,N/A,N/A,3787.0,False,False,False,False,False,4791.943127962086,566.9444444444445
92,93,erajaya-swasembada,Nhà bán lẻ Chuyên ngành: Khác,Jakarta Barat,Indonesia,3950.2,18.4,54.3,-20.6,1328.0,True,Bán lẻ,5675.0,Budiarto Halim,https://www.erajaya.com,393.0,False,False,False,False,False,3336.3175675675675,68.38790931989924
93,94,thai-union-group,Sản xuất thực phẩm,Mueang Samut Sakhon,Thái Lan,3915.0,-12.1,-400.6,-296.1,4816.0,False,"Thực phẩm, Đồ uống & Thuốc lá",13030.0,Thiraphong Chansiri,https://www.thaiunion.com/,1756.0,False,False,False,False,False,4453.9249146757675,204.28352881183068
94,95,cosco-capital,Tài chính Đa ngành,Manila,Philippines,3858.2,6.4,132.8,2.3,4101.0,True,Bán buôn,12982.0,Leonardo B. Dayao,https://www.coscocapital.com/,573.0,False,False,False,False,False,3626.1278195488717,129.81427174975565
95,96,vietnam-airlines,Hàng không,Hà Nội,Việt Nam,3843.0,27.6,-249.0,48.5,2379.0,False,Vận tải,21130.0,Ha Hong Le,https://www.vietnamairlines.com,1508.0,False,False,False,False,False,3011.755485893417,-167.6767676767677
96,97,pldt,Viễn thông,Thành phố Makati,Philippines,3794.7,0.9,478.7,148.2,11004.0,True,Viễn thông,10004.0,Manuel V. Pangilinan,https://main.pldt.com,5014.0,False,False,False,False,False,3760.8523290386524,192.86865431103945
97,98,petrovietnam-gas,"Thiết bị Dầu khí, Dịch vụ",Thành phố Hồ Chí Minh,Việt Nam,3776.4,-12.3,487.2,-23.0,3617.0,True,Năng lượng,2827.0,Pham Van Phong,https://www.pvgas.com.vn,6663.0,False,False,False,False,False,4306.043329532497,632.7272727272727
98,99,military-bank-(mb-bank),Ngân hàng Thương mại,Hà Nội,Việt Nam,3688.0,18.0,868.1,16.1,38951.0,True,Tài chính,16324.0,Pham Nhu Anh,https://www.mbbank.com.vn,,False,False,False,False,False,3125.4237288135596,747.7174849267873
99,100,alliance-global-group,Tài chính Đa ngành,Thành phố Quezon,Philippines,3683.3,12.0,352.8,19.1,14128.0,True,Công nghiệp,56915.0,Kelvin Andrew L. Tan,https://www.allianceglobalinc.com,1567.0,False,False,False,False,False,3288.660714285714,296.22166246851384
100,101,city-developments,Bất động sản,Singapore,Singapore,3680.1,54.0,236.3,-74.7,18376.0,True,Dịch vụ kinh doanh,7781.0,Sherman Kwek,https://www.cdl.com.sg,4032.0,False,False,False,False,False,2389.6753246753246,933.9920948616601
101,102,bayan-resources,"Khai thác, Sản xuất Dầu thô",Jakarta,Indonesia,3581.4,-23.9,1238.6,-43.1,3444.0,True,Vật liệu,3819.0,Low Tuck Kwong,https://www.bayan.com.sg/,38944.0,False,False,False,False,False,4706.176084099869,2176.8014059753955
102,103,indah-kiat-pulp-&-paper,Sản phẩm từ Rừng và Giấy,Jakarta,Indonesia,3479.0,-13.1,411.5,-52.0,10125.0,True,Vật liệu,11000.0,N/A,N/A,5184.0,False,False,False,False,False,4003.452243958573,857.2916666666667
