Unnamed: 0,Rank,Company,Industry,Headquarters City,Country,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Profitable,Female CEO,Sector,Fastest Growing Companies,Change the World,World's Most Admired Companies,Employees,Global 500,slug,CEO,Website,Market value ($M)
10,11,united-overseas-bank,Commercial Banks,Singapore,Singapore,"$19,733.4",68.9%,"$4,253.5",28.2%,"$396,967",yes,no,Financials,no,no,no,"32,340",no,/company/united-overseas-bank/,Wee Ee Cheong,https://www.uobgroup.com,"$37,330"
11,12,oversea-chinese-banking,Commercial Banks,Singapore,Singapore,"$18,418.1",67.1%,"$5,229.2",30.4%,"$440,874",yes,yes,Financials,no,no,no,"33,330",no,/company/oversea-chinese-banking/,Helen Wong,https://www.ocbc.com,"$47,026"
12,13,charoen-pokphand-foods,Food Production,Bangkok,Thailand,"$17,243.5",-3.3%,$-149.7,-137.5%,"$25,829",no,no,"Food, Beverages & Tobacco",no,no,no,"92,970",no,/company/charoen-pokphand-foods/,Prasit Boondoungprasert,https://www.cpfworldwide.com,"$4,402"
13,14,indorama-ventures,Chemicals,Bangkok,Thailand,"$15,715.5",-17.5%,$-310.5,-135%,"$17,180",no,no,Chemicals,no,no,no,"29,056",no,/company/indorama-ventures/,Aloke Lohia,https://www.indoramaventures.com,"$3,619"
14,15,bank-rakyat-indonesia,Commercial Banks,Jakarta,Indonesia,"$14,916.8",14.7%,"$3,947.6",14.4%,"$127,639",yes,no,Financials,no,no,no,"77,739",no,/company/bank-rakyat-indonesia/,Sunarso,https://www.ir-bri.com,"$26,396"
15,16,siam-cement,"Building Materials, Glass",Bangkok,Thailand,"$14,366.9",-11.9%,$745.2,21.8%,"$26,015",yes,no,Materials,no,no,no,"55,578",no,/company/siam-cement/,Thammasak Sethaudom,https://www.scg.com/,"$8,059"
16,17,maybank,Commercial Banks,Kuala Lumpur,Malaysia,"$14,148.6",25.7%,"$2,052",13.2%,"$223,894",yes,no,Financials,no,no,no,"43,595",no,/company/maybank/,Khairussaleh Ramli,https://www.maybank.com/,"$24,625"
17,18,singapore-airlines,Airlines,Singapore,Singapore,"$14,141.1",9.3%,"$1,989.4",26.7%,"$32,850",yes,no,Transportation,no,no,yes,"16,643",no,/company/singapore-airlines/,Goh Choon Phong,https://www.singaporeair.com/,"$14,417"
18,19,cp-axtra,Food and Drug Stores,Bangkok,Thailand,"$14,088",4.9%,$248.4,12.8%,"$15,731",yes,no,Wholesaler,no,no,no,"88,948",no,/company/cp-axtra/,Tanin Buranamanit,https://www.cpaxtra.com,"$9,275"
19,20,sea,Internet Services and Retailing,Singapore,Singapore,"$13,063.6",4.9%,$162.7,109.8%,"$18,883",yes,no,Technology,no,yes,no,"62,700",no,/company/sea/,Forrest Li,https://www.sea.com/,"$31,485"
20,21,tenaga-nasional,Utilities: Gas and Electric,Kuala Lumpur,Malaysia,"$11,646.6",0.5%,$608,-22.9%,"$44,606",yes,no,Energy,no,no,no,"34,543",no,/company/tenaga-nasional/,Megat Jalaluddin bin Megat Hassan,https://www.tnb.com.my/,"$14,517"
21,22,bank-mandiri,Commercial Banks,Jakarta,Indonesia,"$11,515.3",13.8%,"$3,616.5",30.2%,"$141,229",yes,no,Financials,no,no,no,"36,872",no,/company/bank-mandiri/,Darmawan Junaidi,https://bankmandiri.co.id/en/,"$39,704"
22,23,petrolimex,Petroleum Refining,Hanoi,Vietnam,"$11,502.2",-11.6%,$119,85.5%,"$3,284",yes,no,Energy,no,no,no,"26,262",no,/company/petrolimex/,Dao Nam Hai,https://www.petrolimex.com.vn/en.html,"$1,790"
23,24,bangchak,Petroleum Refining,Bangkok,Thailand,"$11,094.9",18.2%,$380.5,5.7%,"$9,911",yes,no,Energy,no,no,no,"1,184",no,/company/bangchak/,Chaiwat Kovavisarach,https://www.bangchak.co.th/,"$1,560"
24,25,sime-darby,Diversified Financials,Petaling Jaya,Malaysia,"$10,758.8",7%,$324.9,24.5%,"$7,940",yes,no,Industrials,no,no,no,"24,335",no,/company/sime-darby/,Jeffri Salim Davidson,https://www.simedarby.com/,"$4,002"
25,26,singtel,Telecommunications,Singapore,Singapore,"$10,648.1",-6.4%,"$1,620.1",12.1%,"$35,003",yes,no,Telecommunications,no,no,no,"24,070",no,/company/singtel/,Yuen Kuan Moon,https://www.singtel.com/,"$28,801"
26,27,sm-investments,Diversified Financials,Pasay City,Philippines,"$10,276.9",8%,"$1,384.9",22.1%,"$28,637",yes,no,Industrials,no,no,no,"72,770",no,/company/sm-investments/,Frederic C. DyBuncio,https://www.sminvestments.com/,"$20,106"
27,28,telkom-indonesia,Telecommunications,Bandung,Indonesia,"$9,801",-1.3%,"$1,613.2",15.3%,"$18,645",yes,no,Telecommunications,no,no,no,"23,064",no,/company/telkom-indonesia/,Ririek Adriansyah,https://www.telkom.co.id,"$19,360"
28,29,golden-agri-resources,Food Production,Singapore,Singapore,"$9,756.2",-14.7%,$197.6,-74.7%,"$9,716",yes,no,"Food, Beverages & Tobacco",no,no,no,"100,800",no,/company/golden-agri-resources/,Franky Oesman Widjaja,https://www.goldenagri.com.sg/,"$2,557"
29,30,irpc,Petroleum Refining,Rayong,Thailand,"$9,198.4",-1.5%,$-84.1,32.7%,"$5,609",no,no,Energy,no,no,no,"4,441",no,/company/irpc/,Kris Imsang,https://www.irpc.co.th/en/en-home/,"$1,085"
30,31,kasikornbank,Commercial Banks,Bangkok,Thailand,"$8,643.2",15.8%,"$1,219.3",19.1%,"$124,703",yes,yes,Financials,no,no,no,"18,556",no,/company/kasikornbank/,Kattiya Indaravijaya,https://www.kasikornbank.com/en,"$8,340"
31,32,petronas-dagangan,Petroleum Refining,Kuala Lumpur,Malaysia,"$8,241",-1.5%,$207,16.9%,"$2,503",yes,no,Energy,no,no,no,"1,342",no,/company/petronas-dagangan/,Azrul Osman Rani,https://www.mymesra.com.my/,"$4,521"
32,33,thai-beverage,Beverages,Bangkok,Thailand,"$8,094.2",0.8%,$784.8,-10.8%,"$13,527",yes,no,"Food, Beverages & Tobacco",no,no,no,"50,613",no,/company/thai-beverage/,Thapana Sirivadhanabhakdi,https://www.thaibev.com/home,"$9,120"
33,34,manila-electric,Utilities: Gas and Electric,Pasig,Philippines,"$7,979.9",1.7%,$684,30.8%,"$10,580",yes,no,Energy,no,no,no,"14,494",no,/company/manila-electric/,Manuel V. Pangilinan,https://www.meralco.com.ph/,"$7,203"
34,35,gudang-garam,Tobacco,Kediri,Indonesia,"$7,813.2",-7.1%,$349.7,86.6%,"$6,005",yes,no,"Food, Beverages & Tobacco",no,no,no,"25,961",no,/company/gudang-garam/,Susilo Wonowidjojo,https://www.gudanggaramtbk.com/en/,"$2,162"
35,36,cimb-group-holdings,Commercial Banks,Kuala Lumpur,Malaysia,"$7,690.6",25.8%,"$1,532.1",23.7%,"$159,820",yes,no,Financials,no,no,no,"33,632",no,/company/cimb-group-holdings/,Abdul Rahman Ahmad,https://www.cimb.com,"$14,806"
36,37,agribank,Commercial Banks,Hanoi,Vietnam,"$7,536.6",16.6%,$862.4,12.6%,"$84,292",yes,no,Financials,no,no,no,"40,663",no,/company/agribank/,Pham Toan Vuong,https://www.agribank.com.vn/en,"$15,978"
37,38,st-engineering,Engineering & Construction,Singapore,Singapore,"$7,523.2",14.7%,$436.8,12.5%,"$11,661",yes,no,Aerospace & Defense,no,no,no,"26,779",no,/company/st-engineering/,Vincent Chong Sy Feng,https://www.stengg.com/,"$9,219"
38,39,bank-for-investment-and-development-of-vietnam-(bidv),Commercial Banks,Hanoi,Vietnam,"$7,518.2",19.5%,$902.8,16.7%,"$94,842",yes,no,Financials,no,no,no,"29,327",no,/company/bidv/,Le Ngoc Lam,https://bidv.com.vn/en,"$11,070"
39,40,bank-central-asia,Commercial Banks,Jakarta,Indonesia,"$7,370.6",14.2%,"$3,194.8",16.3%,"$91,465",yes,no,Financials,no,no,no,"25,486",no,/company/bank-central-asia/,Jahja Setiaatmadja,https://www.bca.co.id/,"$74,482"
40,41,indofood-sukses-makmur,Food Production,Jakarta,Indonesia,"$7,337.1",-1.8%,$535.1,24.8%,"$12,120",yes,no,"Food, Beverages & Tobacco",no,no,no,"81,367",no,/company/indofood-sukses-makmur/,Anthoni Salim,https://www.indofood.com/,"$3,383"
41,42,central-retail,General Merchandisers,Bangkok,Thailand,"$7,150.8",5.8%,$230.5,12.3%,"$8,358",yes,no,Retailing,no,no,no,"58,346",no,/company/central-retail/,Yol Phokasub,https://www.centralretail.com/,"$5,612"
42,43,mind-id,"Mining, Crude-Oil Production",Barito Utara,Indonesia,"$7,087.9",-17.2%,"$1,599.1",45.5%,"$16,835",yes,no,Materials,no,no,no,"10,422",no,/company/mind-id/,Hendi Prio Santoso,https://mind.id/en,"$8,362"
43,44,sumber-alfaria-trijaya,Food and Drug Stores,Tangerang,Indonesia,"$7,024.5",7.5%,$223.6,16.1%,"$2,225",yes,no,Retailing,no,no,no,"195,757",no,/company/sumber-alfaria-trijaya/,Anggara Hans Prawira,https://alfamart.co.id/,"$7,501"
44,45,vingroup,Real Estate,Hanoi,Vietnam,"$6,777.1",55.7%,$86.3,-1.3%,"$27,521",yes,no,Business Services,no,no,no,"53,504",no,/company/vingroup/,Nguyen Viet Quang,https://vingroup.net/en,"$6,527"
45,46,bangkok-bank,Commercial Banks,Bangkok,Thailand,"$6,642",32.1%,"$1,197.2",42.8%,"$131,426",yes,no,Financials,no,no,no,"28,286",no,/company/bangkok-bank/,Chartsiri Sophonpanich,https://www.bangkokbank.com/,"$7,054"
46,47,ytl,Engineering & Construction,Kuala Lumpur,Malaysia,"$6,598.6",15.1%,$244.1,48.5%,"$17,462",yes,no,Industrials,no,no,no,"12,627",no,/company/ytl/,Yeoh Seok Kian,https://www.ytl.com/,"$7,130"
47,48,vietinbank,Commercial Banks,Hanoi,Vietnam,"$6,583.2",15.1%,$835.6,15.4%,"$82,904",yes,no,Financials,no,no,no,"24,642",no,/company/vietinbank/,Do Thanh Son,https://www.vietinbank.vn,"$6,952"
48,49,adaro-energy-indonesia,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$6,517.6",-19.6%,"$1,641.4",-34.2%,"$10,473",yes,no,Energy,no,no,no,"14,697",no,/company/adaro-energy-indonesia/,Garibaldi Thohir,https://www.adaro.com/,"$5,160"
49,50,scb-x,Diversified Financials,Bangkok,Thailand,"$6,308.2",19.7%,"$1,251.4",16.5%,"$100,108",yes,no,Financials,no,no,no,"28,042",no,/company/scb-x/,Arthid Nanthawithaya,https://www.scbx.com/en/,"$9,672"
50,51,petronas-chemicals-group,Chemicals,Kuala Lumpur,Malaysia,"$6,291.6",-4.6%,$372.2,-74.2%,"$13,117",yes,no,Chemicals,no,no,no,"6,465",no,/company/petronas-chemicals-group/,Mazuin bin Ismail,https://www.petronas.com/pcg/,"$11,376"
51,52,binh-son-refining,Petroleum Refining,Quang Ngai,Vietnam,"$6,189.1",-13.4%,$363.1,-42.3%,"$3,569",yes,no,Energy,no,no,no,"1,532",no,/company/binh-son-refining/,Bui Ngoc Duong,https://bsr.com.vn,"$2,762"
52,53,yanlord-land-group,Real Estate,Singapore,Singapore,"$6,130",43.7%,$-131.9,-157.9%,"$24,327",no,no,Business Services,no,no,no,"11,530",no,/company/yanlord-land-group/,Zhong Sheng Jian,https://www.yanlordland.com/,$637
53,54,genting,"Hotels, Casinos, Resorts",Kuala Lumpur,Malaysia,"$5,967.1",17%,$203.9,398.5%,"$23,275",yes,no,"Hotels, Restaurants & Leisure",no,no,no,"54,000",no,/company/genting/,Lim Kok Thay,https://www.genting.com/,"$3,650"
54,55,jg-summit-holdings,Diversified Financials,Pasig,Philippines,"$5,932.2",11.5%,$360.6,2912.2%,"$20,080",yes,no,Industrials,no,no,no,"25,979",no,/company/jg-summit-holdings/,Lance Yu Gokongwei,https://www.jgsummit.com.ph/,"$4,396"
55,56,true,Telecommunications,Bangkok,Thailand,"$5,832.9",-5.2%,$-451.1,-166.5%,"$21,680",no,no,Telecommunications,no,no,no,"10,098",no,/company/true-corporation/,,,"$3,934"
56,57,bdo-unibank,Commercial Banks,Makati City,Philippines,"$5,832.1",31.7%,"$1,320.6",25.8%,"$80,839",yes,no,Financials,no,no,no,"41,647",no,/company/bdo-unibank/,Nestor V. Tan,https://www.bdo.com.ph,"$13,523"
57,58,ptg-energy,Petroleum Refining,Bangkok,Thailand,"$5,716.6",11.3%,$27.2,1.6%,"$1,366",yes,no,Retailing,no,no,no,"21,954",no,/company/ptg-energy/,Pitak Ratchakitprakarn,https://www.ptgenergy.co.th/,$394
58,59,aboitiz-equity-ventures,Diversified Financials,Taguig City,Philippines,"$5,587.6",-1%,$423.6,-4.2%,"$15,055",yes,no,Industrials,no,no,no,"13,802",no,/company/aboitiz-equity-ventures/,Sabin M. Aboitiz,https://aboitiz.com/,"$4,079"
59,60,public-bank,Commercial Banks,Kuala Lumpur,Malaysia,"$5,577.9",14.3%,"$1,459.3",4.7%,"$111,241",yes,no,Financials,no,no,no,"19,827",no,/company/public-bank/,Tay Ah Lek,https://www.publicbankgroup.com/,"$16,773"
60,61,batu-kawan,Diversified Financials,Ipoh,Malaysia,"$5,448.7",-17.1%,$108.5,-60.3%,"$6,798",yes,no,Materials,no,no,no,"42,559",no,/company/batu-kawan/,Lee Hau Hian,https://www.bkawan.com.my/,"$1,647"
61,62,bank-negara-indonesia,Commercial Banks,Jakarta Pusat,Indonesia,"$5,448",8%,"$1,373.4",11.2%,"$70,586",yes,no,Financials,no,no,no,"27,570",no,/company/bank-negara-indonesia/,Royke Tumilaar,https://www.bni.co.id/en-us/,"$12,059"
62,63,singapore-power,Utilities: Gas and Electric,Singapore,Singapore,"$5,442.9",6.4%,$751.8,-49.4%,"$15,217",yes,no,Energy,no,no,no,"3,584",no,/company/singapore-power/,Stanley Huang Tian Guan,https://www.spgroup.com.sg/,"$6,505"
63,64,advanced-info-service,Telecommunications,Bangkok,Thailand,"$5,430.9",2.3%,$836.3,12.4%,"$13,230",yes,no,Telecommunications,no,no,no,"11,448",no,/company/advanced-info-service/,Somchai Lertsutiwong,https://investor.ais.co.th/,"$15,844"
64,65,seatrium,Engineering & Construction,Singapore,Singapore,"$5,430.7",284.3%,"$-1,502",-692.5%,"$12,304",no,no,Engineering & Construction,no,no,no,"22,747",no,/company/seatrium/,Chris Ong,https://www.seatrium.com/,"$4,902"
65,66,krungthai-bank,Commercial Banks,Bangkok,Thailand,"$5,417.7",27.5%,"$1,052.9",9.2%,"$107,065",yes,no,Financials,no,no,no,"16,421",no,/company/krungthai-bank/,Payong Srivanich,https://www.krungthai.com,"$6,333"
66,67,psa-international,Shipping,Singapore,Singapore,"$5,284.7",-8.9%,"$1,089.4",-3.9%,"$20,842",yes,no,Transportation,no,no,no,"49,000",no,/company/psa-international/,Ong Kim Pong,https://www.globalpsa.com/,"$4,289"
67,68,sembcorp-industries,Utilities: Gas and Electric,Singapore,Singapore,"$5,244.9",-7.7%,$701.6,14%,"$11,751",yes,no,Engineering & Construction,no,no,no,"5,063",no,/company/sembcorp-industries/,Wong Kim Yin,https://www.sembcorp.com/,"$7,019"
68,69,kuala-lumpur-kepong,Food Production,Ipoh,Malaysia,"$5,226.4",-17.3%,$184.4,-63.4%,"$6,419",yes,no,"Food, Beverages & Tobacco",no,no,no,"48,487",no,/company/kuala-lumpur-kepong/,Lee Oi Hian,https://www.klk.com.my/,"$5,321"
69,70,ayala,Diversified Financials,Makati City,Philippines,"$5,214.9",7.4%,$684.9,35.9%,"$29,043",yes,no,Industrials,no,no,no,"33,889",no,/company/ayala/,Cezar P. Consing,https://ayala.com,"$6,602"
70,71,pupuk-indonesia,Chemicals,Jakarta,Indonesia,"$5,202.6",-25.7%,$407.3,-67.3%,"$9,288",yes,no,Chemicals,no,no,no,"7,441",no,/company/pupuk-indonesia/,Rahmad Pribadi,https://www.pupuk-indonesia.com/,"$4,438"
71,72,keppel,Real Estate,Singapore,Singapore,"$5,188.3",8%,"$3,028.8",350.4%,"$20,350",yes,no,Industrials,no,no,no,"12,245",no,/company/keppel/,Loh Chin Hua,https://www.keppel.com/,"$9,111"
72,73,banpu,"Mining, Crude-Oil Production",Bangkok,Thailand,"$5,159",-32.9%,$160,-86.2%,"$13,000",yes,no,Energy,no,no,no,"6,116",no,/company/banpu/,Sinon Vongkusolkit,https://www.banpu.com/,"$1,500"
73,74,gt-capital-holdings,Diversified Financials,Makati City,Philippines,"$5,104.6",21.2%,$517,53.1%,"$8,063",yes,no,Industrials,no,no,no,"39,000",no,/company/gt-capital-holdings/,Carmelo Maria Luza Bautista,https://www.gtcapital.com.ph/,"$2,384"
74,75,dian-swastatika-sentosa,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$5,014.7",-15.8%,$426.2,-27.8%,"$3,063",yes,no,Energy,no,no,no,"2,368",no,/company/dian-swastatika-sentosa/,L. Krisnan Cahya,https://dssa.co.id/,"$4,751"
75,76,hoa-phat-group,Industrial Machinery,Hung Yen,Vietnam,"$4,993.9",-17.4%,$287,-20.9%,"$7,740",yes,no,Industrials,no,no,no,"28,951",no,/company/hoa-phat-group/,Nguyen Viet Thang,https://www.hoaphat.com.vn,"$6,518"
76,77,mobile-world-investment,Specialty Retailers: Other,Thu Dau Mot,Vietnam,"$4,965.6",-13%,$7,-96%,"$2,478",yes,no,Retailing,no,no,no,"65,414",no,/company/mobile-world-investment/,Tran Huy Thanh Tung,https://mwg.vn/eng,"$3,169"
77,78,ytl-power-international,Utilities: Gas and Electric,Kuala Lumpur,Malaysia,"$4,877.3",15.8%,$451.9,29.3%,"$12,676",yes,no,Energy,no,no,no,"4,800",no,/company/ytl-power-international/,Yeoh Seok Hong,https://www.ytlpowerinternational.com,"$7,818"
78,79,berli-jucker,Specialty Retailers: Other,Bangkok,Thailand,"$4,831.5",3.2%,$137.9,-3.8%,"$9,868",yes,yes,Wholesaler,no,no,no,"45,373",no,/company/berli-jucker/,Thapanee Techajareonvikul,https://www.bjc.co.th,"$2,648"
79,80,axiata-group,Telecommunications,Kuala Lumpur,Malaysia,"$4,828.8",5.9%,$-437.8,-119.7%,"$17,084",no,no,Telecommunications,no,no,no,"10,800",no,/company/axiata-group/,Vivek Sood,https://www.axiata.com/,"$5,450"
80,81,thai-airways-international,Airlines,Bangkok,Thailand,"$4,758.6",58%,$807.9,10470.9%,"$6,958",yes,no,Transportation,no,no,no,"11,146",no,/company/thai-airways-international/,Chai Eamsiri,https://www.thaiairways.com,$22
81,82,ihh-healthcare,Health Care: Medical Facilities,Kuala Lumpur,Malaysia,"$4,594.6",12.1%,$647.9,83.7%,"$10,935",yes,no,Health Care,no,no,no,"70,000",no,/company/ihh-healthcare/,Prem Kumar Nair,https://www.ihhhealthcare.com,"$11,692"
82,83,housing-&-development-board,Real Estate,Singapore,Singapore,"$4,503.3",25.7%,$12.2,-66.4%,"$66,866",yes,no,Engineering & Construction,no,no,no,"5,516",no,/company/housing-devel-board/,,,"$14,973"
83,84,japfa,Food Production,Singapore,Singapore,"$4,429",1.5%,$-30.8,-477.5%,"$3,083",no,no,"Food, Beverages & Tobacco",no,no,no,"37,668",no,/company/japfa/,Tan Yong Nang,https://www.japfa.com,$448
84,85,minor-international,"Hotels, Casinos, Resorts",Bangkok,Thailand,"$4,400.8",21.8%,$155.5,26.7%,"$10,457",yes,no,"Hotels, Restaurants & Leisure",no,no,no,"63,256",no,/company/minor-international/,Emmanuel Jude Dillipraj Rajakarier,https://www.minor.com,"$5,047"
85,86,jollibee-foods,Food Services,Pasig,Philippines,"$4,391.1",12.6%,$157.7,13.4%,"$4,408",yes,no,"Food, Beverages & Tobacco",no,no,no,"26,263",no,/company/jollibee-foods/,Ernesto Tanmantiong,https://www.jollibee.com.ph,"$4,570"
86,87,cal-comp-electronics,"Electronics, Electrical Equip",Bangkok,Thailand,"$4,336.5",-12.1%,$32.1,38.3%,"$2,499",yes,no,Technology,no,no,no,"23,563",no,/company/cal-comp-electronics/,Khongsit Choukitcharoen,https://www.calcomp.co.th/,$637
87,88,petrovietnam-oil,"Oil and Gas Equipment, Services",Tuy Hoa,Vietnam,"$4,310",-3.3%,$23.6,-15.2%,"$1,601",yes,no,Energy,no,no,no,"1,681",no,/company/petrovietnam-oil/,Doan Van Nhuom,https://www.pvoilphuyen.com.vn,$3
88,89,fgv-holdings,Food Production,Kuala Lumpur,Malaysia,"$4,248.8",-27%,$22.3,-92.6%,"$3,765",yes,no,"Food, Beverages & Tobacco",no,no,no,"16,781",no,/company/fgv-holdings/,Mohd Nazrul Izam Mansor,https://www.fgvholdings.com/,"$1,056"
89,90,mewah-international,Food Production,Singapore,Singapore,"$4,123.8",-24%,$40.6,-64.3%,"$1,490",yes,yes,"Food, Beverages & Tobacco",no,no,no,"4,491",no,/company/mewah-international/,Michelle Cheo Hui Ning,https://www.mewahgroup.com/,$308
90,91,vpbank,Commercial Banks,Hanoi,Vietnam,"$4,049.9",10.8%,$418.7,-46.1%,"$33,700",yes,no,Financials,no,no,no,"24,973",no,/company/vpbank/,Nguyen Duc Vinh,https://www.vpbank.com.vn,"$5,809"
91,92,sd-guthrie,Food Production,Petaling Jaya,Malaysia,"$4,044.4",-15.6%,$408.2,-28%,"$6,947",yes,no,"Food, Beverages & Tobacco",no,no,no,"50,532",no,/company/sime-darby-plantation/,,,"$3,787"
92,93,erajaya-swasembada,Specialty Retailers: Other,Jakarta Barat,Indonesia,"$3,950.2",18.4%,$54.3,-20.6%,"$1,328",yes,no,Retailing,no,no,no,"5,675",no,/company/erajaya-swasembada/,Budiarto Halim,https://www.erajaya.com,$393
93,94,thai-union-group,Food Production,Mueang Samut Sakhon,Thailand,"$3,915",-12.1%,$-400.6,-296.1%,"$4,816",no,no,"Food, Beverages & Tobacco",no,no,no,"13,030",no,/company/thai-union-group/,Thiraphong Chansiri,https://www.thaiunion.com/,"$1,756"
94,95,cosco-capital,Diversified Financials,Manila,Philippines,"$3,858.2",6.4%,$132.8,2.3%,"$4,101",yes,no,Wholesaler,no,no,no,"12,982",no,/company/cosco-capital/,Leonardo B. Dayao,https://www.coscocapital.com/,$573
95,96,vietnam-airlines,Airlines,Hanoi,Vietnam,"$3,843",27.6%,$-249,48.5%,"$2,379",no,no,Transportation,no,no,no,"21,130",no,/company/vietnam-airlines/,Ha Hong Le,https://www.vietnamairlines.com,"$1,508"
96,97,pldt,Telecommunications,Makati City,Philippines,"$3,794.7",0.9%,$478.7,148.2%,"$11,004",yes,no,Telecommunications,no,no,no,"10,004",no,/company/pldt/,Manuel V. Pangilinan,https://main.pldt.com,"$5,014"
97,98,petrovietnam-gas,"Oil and Gas Equipment, Services",Ho Chi Minh City,Vietnam,"$3,776.4",-12.3%,$487.2,-23%,"$3,617",yes,no,Energy,no,no,no,"2,827",no,/company/petrovietnam-gas/,Pham Van Phong,https://www.pvgas.com.vn,"$6,663"
98,99,military-bank-(mb-bank),Commercial Banks,Hanoi,Vietnam,"$3,688",18%,$868.1,16.1%,"$38,951",yes,no,Financials,no,no,no,"16,324",no,/company/mb-bank/,Pham Nhu Anh,https://www.mbbank.com.vn,
99,100,alliance-global-group,Diversified Financials,Quezon City,Philippines,"$3,683.3",12%,$352.8,19.1%,"$14,128",yes,no,Industrials,no,no,no,"56,915",no,/company/alliance-global-group/,Kelvin Andrew L. Tan,https://www.allianceglobalinc.com,"$1,567"
100,101,city-developments,Real Estate,Singapore,Singapore,"$3,680.1",54%,$236.3,-74.7%,"$18,376",yes,no,Business Services,no,no,no,"7,781",no,/company/city-developments/,Sherman Kwek,https://www.cdl.com.sg,"$4,032"
101,102,bayan-resources,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$3,581.4",-23.9%,"$1,238.6",-43.1%,"$3,444",yes,no,Materials,no,no,no,"3,819",no,/company/bayan-resources/,Low Tuck Kwong,https://www.bayan.com.sg/,"$38,944"
102,103,indah-kiat-pulp-&-paper,Forest and Paper Products,Jakarta,Indonesia,"$3,479",-13.1%,$411.5,-52%,"$10,125",yes,no,Materials,no,no,no,"11,000",no,/company/indah-kiat-pulp-paper/,,,"$5,184"
103,104,drb-hicom,Diversified Outsourcing Services,Shah Alam,Malaysia,"$3,478.7",-1.5%,$52.4,22.6%,"$12,765",yes,no,Motor Vehicles & Parts,no,no,no,"45,000",no,/company/drb-hicom/,Syed Faisal Albar Syed A.R. Albar,https://www.drb-hicom.com,$568
104,105,robinsons-retail-holdings,General Merchandisers,Quezon City,Philippines,"$3,456",5%,$73.7,-31.5%,"$2,799",yes,yes,Wholesaler,no,no,no,"23,172",no,/company/robinsons-retail-holdings/,Robina Gokongwei-Pe,https://www.robinsonsretailholdings.com.ph/,$906
105,106,indosat,Telecommunications,Jakarta,Indonesia,"$3,364.9",6.7%,$296,-7.1%,"$7,452",yes,no,Telecommunications,no,no,no,"4,041",no,/company/indosat/,Vikram Sinha,https://www.ioh.co.id,"$5,468"
